Order	Open time	Type	Lots	Symbol	Open price	StopLoss	TakeProfit	Close time	Close price	Profit in points	Balance in points	Comment	Magic
16321176	2009.08.03 07:30	buy	0.1	EURUSD	1.4243	1.4229	0	2009.08.03 08:00	1.4229	-14	630	[sl]	0
16321989	2009.08.03 08:03	buy	0.1	EURUSD	1.4232	1.4222	0	2009.08.03 08:55	1.4222	-10	620	[sl]	0
16409798	2009.08.04 13:00	buy	0.1	EURUSD	1.4383	1.4383	0	2009.08.04 16:32	1.4392	9	629		1001
16433076	2009.08.04 19:56	buy	0.1	EURUSD	1.4386	1.4365	0	2009.08.05 08:55	1.4368	-18	611		1001
16445170	2009.08.05 08:57	buy	0.1	EURUSD	1.4372	1.439	0	2009.08.05 10:37	1.439	18	629	[sl]	0
16450376	2009.08.05 10:45	sell	0.1	EURUSD	1.4391	1.4403	0	2009.08.05 11:29	1.4403	-12	617	[sl]	0
16452527	2009.08.05 11:32	buy	0.1	EURUSD	1.4396	1.4398	0	2009.08.05 14:16	1.4398	2	619	[sl]	0
16465440	2009.08.05 16:00	buy	0.1	EURUSD	1.4371	1.4415	0	2009.08.05 21:32	1.4415	44	663	[sl]	1004
16473790	2009.08.05 18:22	buy	0.1	EURUSD	1.4416	0	0	2009.08.05 20:20	1.4425	9	672		1004
16477822	2009.08.05 20:22	sell	0.1	EURUSD	1.4422	0	0	2009.08.05 20:22	1.4425	-3	669		0
16481445	2009.08.05 22:37	buy	0.1	EURUSD	1.4419	1.4402	0	2009.08.05 22:55	1.4402	-17	652	[sl]	0
16482070	2009.08.05 23:06	buy	0.1	EURUSD	1.4411	1.4398	0	2009.08.06 04:35	1.4398	-13	639	[sl]	0
16485594	2009.08.06 04:43	buy	0.1	EURUSD	1.4399	0	0	2009.08.06 06:11	1.4396	-3	636		1005
16496128	2009.08.06 11:30	buy	0.1	EURUSD	1.4401	1.4389	0	2009.08.06 12:04	1.4389	-12	624	[sl]	0
16497670	2009.08.06 12:12	buy	0.1	EURUSD	1.4393	1.4381	0	2009.08.06 12:13	1.4381	-12	612	[sl]	0
16498117	2009.08.06 12:19	sell	0.1	EURUSD	1.4376	1.4396	0	2009.08.06 13:00	1.4396	-20	592	[sl]	0
16502165	2009.08.06 13:55	sell	0.1	EURUSD	1.4377	0	0	2009.08.06 13:55	1.438	-3	589		0
16502175	2009.08.06 13:55	buy	0.1	EURUSD	1.438	1.4365	0	2009.08.06 14:16	1.4365	-15	574	[sl]	0
16503857	2009.08.06 14:33	sell	0.1	EURUSD	1.4366	0	0	2009.08.06 14:38	1.4383	-17	557		0
16504835	2009.08.06 14:48	sell	0.1	EURUSD	1.439	1.439	0	2009.08.07 14:30	1.439	0	557	[sl]	0
16561028	2009.08.10 14:39	buy	0.1	EURUSD	1.4171	1.4171	0	2009.08.10 15:11	1.4171	0	557	[sl]	0
16563521	2009.08.10 15:38	sell	0.1	EURUSD	1.4173	1.418	0	2009.08.10 21:01	1.4136	37	594		0
16578896	2009.08.11 08:30	sell	0.1	EURUSD	1.4151	1.4164	0	2009.08.11 08:58	1.4164	-13	581	[sl]	0
16579998	2009.08.11 09:13	sell	0.1	EURUSD	1.4169	1.4181	0	2009.08.11 09:22	1.4181	-12	569	[sl]	0
16680187	2009.08.14 07:34	sell	0.1	EURUSD	1.4262	1.4275	0	2009.08.14 07:46	1.4275	-13	556	[sl]	0
16689160	2009.08.14 14:03	sell	0.1	EURUSD	1.43	1.422	0	2009.08.14 18:44	1.422	80	636	[sl]	0
16710254	2009.08.17 08:53	sell	0.1	EURUSD	1.4149	1.4157	0	2009.08.17 08:55	1.4157	-8	628	[sl]	0
16711354	2009.08.17 09:11	buy	0.1	EURUSD	1.4127	1.411	0	2009.08.17 10:14	1.411	-17	611	[sl]	1000
16817748	2009.08.20 14:49	buy	0.1	EURUSD	1.4234	1.4205	0	2009.08.20 15:26	1.4205	-29	582	[sl]	0
16819022	2009.08.20 15:37	sell	0.1	EURUSD	1.4218	1.4245	1.4218	2009.08.20 17:09	1.4245	-27	555	[sl]	0
16820397	2009.08.20 16:41	sell	0.1	EURUSD	1.4234	1.4252	0	2009.08.20 17:12	1.4252	-18	537	[sl]	0
16821306	2009.08.20 17:26	buy	0.1	EURUSD	1.4236	1.4219	0	2009.08.21 05:53	1.4219	-17	520	[sl]	0
16828262	2009.08.21 07:40	buy	0.1	EURUSD	1.4234	1.4212	0	2009.08.21 07:41	1.4233	-1	519		1001
16828491	2009.08.21 08:00	buy	0.1	EURUSD	1.4232	1.421	1.425	2009.08.21 08:01	1.4228	-4	515		1001
16828545	2009.08.21 08:03	buy	0.1	EURUSD	1.4227	1.4215	1.4255	2009.08.21 08:05	1.4226	-1	514		1001
16830055	2009.08.21 09:28	sell	0.1	EURUSD	1.4263	1.4288	0	2009.08.21 09:36	1.4288	-25	489	[sl]	1002
16834512	2009.08.21 12:53	sell	0.1	EURUSD	1.4326	1.4344	0	2009.08.21 13:35	1.4344	-18	471	[sl]	0
16835609	2009.08.21 13:42	sell	0.1	EURUSD	1.4338	1.4354	0	2009.08.21 16:01	1.4354	-16	455	[sl]	0
16845716	2009.08.23 23:00	sell	0.1	EURUSD	1.433	1.4337	0	2009.08.23 23:01	1.4337	-7	448	[sl]	1001
16845743	2009.08.23 23:02	sell	0.1	EURUSD	1.4336	1.4355	0	2009.08.24 02:36	1.4355	-19	429	[sl]	0
16849686	2009.08.24 07:41	sell	0.1	EURUSD	1.4327	1.435	0	2009.08.25 15:00	1.435	-23	406	[sl]	0
16883644	2009.08.25 15:12	sell	0.1	EURUSD	1.4358	1.4358	1.41	2009.08.27 20:27	1.4358	0	406	[sl]	1002
16932163	2009.08.27 20:28	sell	0.1	EURUSD	1.4366	1.4388	0	2009.08.27 20:28	1.4388	-22	384	[sl]	1001
16976055	2009.08.31 20:25	sell	0.1	EURUSD	1.4335	1.437	0	2009.09.01 08:01	1.437	-35	349	[sl]	0
17013224	2009.09.02 13:08	sell	0.1	EURUSD	1.4232	1.4255	0	2009.09.02 17:12	1.4255	-23	326	[sl]	0
17021116	2009.09.02 17:25	sell	0.1	EURUSD	1.4251	1.4269	1.4151	2009.09.02 18:38	1.4269	-18	308	[sl]	0
17071226	2009.09.04 20:33	sell	0.1	EURUSD	1.4314	1.4336	0	2009.09.07 05:26	1.4336	-22	286	[sl]	0
17079120	2009.09.07 10:35	sell	0.1	EURUSD	1.435	1.4372	0	2009.09.08 08:25	1.4372	-22	264	[sl]	0
